,FIPS,Population_2020,Obesity_2020,ExcessiveDrinking,Unemployment,PhysicalInactivity,College,PhysicalDistress,MentalDistress,FI,HouseBurden,PCP,MHP,TrafficVolume,StateAbbr,Population_2022,TotalPop18plus,Obesity,Diabetes,Depression,BingeDrink,Conservative Protestant,Black Protestant,Orthodox Christian,Mainline Protestant,Other,Other Christian,Catholic,Judaism,Latter-day Saints,Hinduism,Jehovah’s Witnesses,Buddhism,Islam,Series_Complete_Yes,county_fips,DEMOCRAT_2024,REPUBLICAN_2024,Suicide,FFR20,FSR20
0,1001,55639,18527.787,8360.33353108223,2019.183187583068,19306.733,8953,7614.32434965624,7861.42718203711,7270,2726,25.0,13.0,88,AL,59759,45878,17617.152,5184.214,11148.354000000001,7615.7480000000005,23418.0,1006.0,0.0,2821.0,0.0,0.0,0.0,0.0,553.0,0.0,228.0,0.0,0.0,25756,1001.0,7439,20484,10,45,32
1,1003,218289,67669.59,39201.015540737666,7891.981555383996,57846.585,32812,27242.702233949192,29415.17523838551,23560,8813,155.0,210.0,86,AL,246435,195167,71821.45599999999,19907.034,48986.917,35520.394,60369.0,2048.0,150.0,18596.0,0.0,109.0,0.0,0.0,1521.0,0.0,1904.0,0.0,0.0,119284,1003.0,24934,95798,51,172,246
2,1005,0,0.0,0.0,0.0,0.0,2363,0.0,0.0,5760,1190,8.0,2.0,102,AL,24706,19675,8617.65,3148.0,4623.625,2695.475,8797.0,704.0,0.0,1264.0,0.0,0.0,0.0,0.0,369.0,0.0,232.0,0.0,0.0,11703,1005.0,4158,5606,3,24,13
3,1007,0,0.0,0.0,0.0,0.0,2635,0.0,0.0,3240,638,11.0,5.0,29,AL,22005,17660,7311.24,2348.78,4697.56,2754.96,9563.0,360.0,0.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8178,1007.0,1619,7572,5,7,7
4,1009,57755,19521.19,8218.87946478385,2027.86891143661,17499.765,7438,8387.85356745475,8581.9718701767,6140,1630,13.0,9.0,33,AL,59512,46000,17157.999999999996,5336.0,12880.0,7866.000000000001,27687.0,390.0,0.0,2501.0,0.0,0.0,0.0,0.0,461.0,0.0,312.0,0.0,0.0,19005,1009.0,2576,25354,12,24,17
5,1013,0,0.0,0.0,0.0,0.0,2011,0.0,0.0,4160,711,5.0,10.0,19,AL,18650,14473,6585.215,2142.0040000000004,3487.9930000000004,1997.2740000000003,9222.0,702.0,0.0,738.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,0.0,0.0,7968,1013.0,3251,5172,2,21,9
6,1015,114324,44014.74,15824.99119325628,5319.303837112188,36240.708,17099,16867.8217307796,17367.53890511388,18100,5024,73.0,132.0,109,AL,115788,91336,34981.688,11599.672,23108.008,14339.752,65183.0,7076.0,69.0,5106.0,0.0,0.0,0.0,0.0,553.0,0.0,834.0,0.0,370.0,55615,1015.0,13194,34912,21,104,68
7,1017,33427,13404.226999999999,4260.51671042459,1306.3576197854911,10061.527,3714,5096.87786344516,5180.0729104516,6070,1561,14.0,2.0,20,AL,34088,27025,12269.35,3945.65,6864.35,3891.6,10087.0,5218.0,0.0,1940.0,0.0,0.0,0.0,0.0,553.0,0.0,320.0,0.0,0.0,11025,1017.0,5405,8711,5,32,15
8,1019,26035,9112.25,3672.6436385182,929.661418000725,8148.955,2823,3740.1128145904995,3821.4020557264503,3230,989,10.0,5.0,25,AL,25302,20586,8275.572,2326.2180000000003,5558.22,3520.2060000000006,10548.0,270.0,0.0,1486.0,0.0,0.0,0.0,0.0,0.0,0.0,222.0,0.0,0.0,8486,1019.0,1553,11358,4,18,15
9,1021,44147,16643.419,6405.453594066721,1593.5172006359392,14656.804000000002,4564,6441.485062534941,6700.23426327451,5740,1915,9.0,23.0,28,AL,45884,35069,12730.047,4068.004,8977.664,5821.454000000001,26883.0,884.0,0.0,1702.0,0.0,0.0,0.0,0.0,461.0,0.0,324.0,0.0,0.0,16708,1021.0,2698,16920,2,27,19
10,1023,0,0.0,0.0,0.0,0.0,1608,0.0,0.0,2570,463,5.0,1e-06,17,AL,12439,9977,4569.465999999999,1506.5269999999998,2544.135,1426.711,4373.0,884.0,0.0,759.0,0.0,0.0,0.0,0.0,231.0,0.0,74.0,0.0,0.0,8643,1023.0,2515,4103,5,8,7
11,1025,0,0.0,0.0,0.0,0.0,2108,0.0,0.0,5640,992,13.0,17.0,66,AL,22515,17657,7839.708,2630.893,4414.25,2507.294,12152.0,1796.0,0.0,1272.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,0.0,0.0,12393,1025.0,4927,6965,0,27,12
12,1027,0,0.0,0.0,0.0,0.0,1006,0.0,0.0,1940,386,5.0,2.0,37,AL,14198,11235,4449.06,1471.785,3078.39,1775.13,7390.0,1092.0,0.0,749.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,5785,1027.0,993,5734,1,5,4
13,1031,52238,17865.396,7931.449249792619,2062.71970025045,16089.304000000002,8442,7017.319810811121,7365.436237401041,7240,1784,28.0,34.0,58,AL,54805,41812,14257.892,4933.816000000001,9700.384,6940.792000000001,28336.0,980.0,0.0,2661.0,0.0,0.0,0.0,0.0,507.0,0.0,282.0,0.0,0.0,25632,1031.0,4601,17495,11,49,29
14,1033,54957,16816.842,8077.356132800851,2537.7856221501,20114.262000000002,7124,7628.41651003488,7890.518037313171,8000,2442,35.0,19.0,80,AL,58033,45809,18735.880999999998,5497.08,12139.385,7421.057999999999,25022.0,4666.0,0.0,2540.0,0.0,0.0,0.0,0.0,0.0,0.0,330.0,0.0,0.0,27386,1033.0,7137,19714,17,55,33
15,1035,0,0.0,0.0,0.0,0.0,957,0.0,0.0,2650,370,5.0,8.0,34,AL,11206,8943,3997.5210000000006,1386.165,2173.149,1234.134,3518.0,252.0,0.0,574.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,0.0,0.0,5590,1035.0,2580,3423,4,8,3
16,1039,37096,11759.431999999999,5008.07209706376,1698.382531861712,13169.08,4499,5197.9564584028,5524.19078571472,5480,1402,19.0,24.0,42,AL,37602,29340,13085.64,3432.78,8391.24,4577.04,17527.0,392.0,0.0,2000.0,0.0,0.0,0.0,0.0,231.0,0.0,224.0,0.0,0.0,14508,1039.0,2314,14677,2,32,21
17,1041,0,0.0,0.0,0.0,0.0,1486,0.0,0.0,2200,405,2.0,8.0,57,AL,13025,10003,4031.209,1290.387,2570.771,1510.453,6437.0,76.0,0.0,686.0,0.0,0.0,0.0,0.0,231.0,0.0,124.0,0.0,0.0,4917,1041.0,1457,5000,2,7,6
18,1043,83345,30754.305,12407.72138700355,2734.10375361124,30587.615000000005,10249,11548.55171008615,12214.24924469515,9660,2866,46.0,113.0,51,AL,90665,70581,28020.657000000003,8187.396,20186.166,12281.094,47307.0,650.0,0.0,2598.0,0.0,0.0,0.0,0.0,507.0,0.0,322.0,0.0,0.0,32943,1043.0,4039,38704,18,69,42
19,1045,49293,18336.996000000003,7166.19729712824,2072.657952301374,15773.76,7461,7326.382066351651,7417.102904847451,7940,2291,9.0,46.0,41,AL,49544,38039,16851.277,5135.265,9776.023,5972.123,16813.0,1146.0,0.0,2430.0,0.0,0.0,0.0,0.0,922.0,0.0,200.0,0.0,545.0,24412,1045.0,4484,14476,8,30,28
20,1047,38184,16457.304,4329.399843249839,2500.204037678688,10271.496,4626,6874.277306255281,6884.585824698001,11100,2501,29.0,23.0,60,AL,36767,28171,14226.355,4929.925,6225.791000000001,3408.691,13379.0,3184.0,0.0,1191.0,0.0,0.0,0.0,0.0,369.0,0.0,400.0,0.0,369.0,17591,1047.0,10236,5190,3,25,11
