,COUNTY,NPI,Tot_Clms,Tot_30day_Fills,Tot_Day_Suply,Tot_Drug_Cst,Tot_Benes,GE65_Tot_Clms,GE65_Tot_30day_Fills,GE65_Tot_Drug_Cst,GE65_Tot_Day_Suply,GE65_Tot_Benes
0,1001,11,397,577.8,16882,503000.35000000003,79.0,87.0,119.6,109117.29000000001,3480.0,0.0
1,1003,130,6837,9998.4,291384,9280501.91,1280.0,3857.0,5397.5,4988303.59,156717.0,269.0
2,1005,8,330,478.0,14032,452007.02,52.0,0.0,0.0,0.0,0.0,0.0
3,1007,29,907,1073.0,30954,985339.42,72.0,396.0,428.4,386036.94,12240.0,0.0
4,1009,95,3843,5107.3,148363,4766369.16,772.0,1632.0,2070.0,1906981.97,60022.0,120.0
5,1011,25,842,1090.9,31564,1011203.71,107.0,370.0,471.2,439115.38,13628.0,42.0
6,1013,7,489,781.8,22874,748133.91,86.0,227.0,354.6,339170.05,10355.0,17.0
7,1015,59,4070,5834.0,170214,5429373.8,924.0,1752.0,2515.4,2345917.26,73448.0,224.0
8,1017,58,3880,5184.4,150122,4907536.62,818.0,2452.0,3231.7999999999997,3070224.42,93404.0,260.0
9,1019,41,1711,2435.5,71216,2243726.34,203.0,689.0,956.1,867984.63,28007.0,38.0
10,1021,11,529,794.8000000000001,23363,707998.49,138.0,292.0,430.4,377491.29,12645.0,14.0
11,1023,4,145,197.3,5750,164683.3,21.0,66.0,88.0,82881.31,2566.0,0.0
12,1025,12,415,508.2,14678,467340.81,22.0,150.0,160.6,149928.53,4564.0,0.0
13,1027,10,932,1186.2,34282,1092893.6500000001,218.0,444.0,538.5,486385.43,15498.0,47.0
14,1029,39,2679,3933.3,114864,3683574.62,605.0,1137.0,1646.6,1548887.73,48042.0,190.0
15,1031,76,2895,4084.8,118954,3828940.66,285.0,958.0,1340.7,1282133.49,39002.0,0.0
16,1033,75,5171,6506.5,187686,6051359.93,1174.0,2612.0,3257.8,3019428.77,93828.0,336.0
17,1035,111,4416,6039.2,175475,5640590.35,662.0,1796.0,2196.0,2046010.14,63302.0,0.0
18,1037,38,2892,3947.8,114776,3693918.8,598.0,1384.0,1931.8,1794308.02,56286.0,172.0
19,1039,46,1873,2317.9,67090,2110323.89,213.0,653.0,720.0999999999999,670361.72,20738.0,0.0
20,1041,34,1458,2014.2,58549,1833554.4300000002,219.0,684.0,913.2,856754.66,26448.0,17.0
21,1043,93,3202,4221.7,123098,3949038.35,414.0,1511.0,1874.6,1761189.65,54576.0,22.0
22,1045,67,2578,3658.9,106416,3488833.41,270.0,1061.0,1463.0,1402166.58,42394.0,64.0
23,1047,30,2625,3779.7000000000003,110244,3689621.7,513.0,1353.0,1928.3999999999999,1862825.4300000002,56154.0,192.0
24,1049,49,2333,3008.5,87142,2878203.22,499.0,848.0,1048.6,992808.35,30370.0,120.0
25,1051,40,1696,2268.7,66088,2067909.21,272.0,671.0,858.6999999999999,802365.67,24916.0,0.0
26,1053,89,3974,5261.8,152490,4913127.47,644.0,1694.0,1979.3,1848170.26,56820.0,0.0
27,1055,77,3936,5254.4,152895,4905649.97,785.0,1656.0,2136.6,1958672.8599999999,62203.0,158.0
28,1057,22,667,767.0,22209,716657.29,62.0,130.0,144.3,135343.5,4184.0,0.0
29,1059,45,2255,2841.1,82460,2607735.14,401.0,1025.0,1246.3,1128642.07,36100.0,0.0
30,1061,82,3656,5011.3,146003,4591641.9,582.0,1661.0,2221.4,2062359.43,64669.0,107.0
31,1065,15,688,811.0,23424,759019.77,83.0,460.0,520.6,476266.94,14986.0,0.0
32,1067,23,768,959.7,27662,897841.21,90.0,441.0,514.6,482109.07999999996,14704.0,64.0
33,1069,72,3184,4433.4,129051,4112808.68,552.0,1648.0,2223.1,2070492.84,64521.0,171.0
34,1071,22,974,1172.7,33748,1072840.3,117.0,255.0,278.0,254528.72999999998,7985.0,22.0
35,1073,273,17753,24240.8,704776,22026492.91,3236.0,9511.0,13024.8,11726907.38,378710.0,864.0
36,1075,19,791,934.2,26870,872680.26,57.0,297.0,355.9,335996.1,10214.0,0.0
37,1077,29,2501,3425.1,99406,3206441.58,529.0,1497.0,2114.1,1969819.1099999999,61554.0,273.0
38,1079,30,1642,2038.5,58661,1884742.97,233.0,994.0,1262.0,1160060.65,36337.0,22.0
39,1081,82,4974,6756.0,196102,6359934.76,1048.0,2872.0,3747.7999999999997,3566946.5,108336.0,260.0
40,1083,17,820,1108.9,32247,1031890.13,139.0,366.0,480.4,442138.81,13940.0,0.0
41,1085,30,2625,3779.7000000000003,110244,3689621.7,513.0,1353.0,1928.3999999999999,1862825.4300000002,56154.0,192.0
42,1087,21,806,1038.2,30150,977729.5700000001,110.0,188.0,250.39999999999998,240154.46000000002,7280.0,0.0
43,1089,94,3659,5824.4,170590,5420636.45,544.0,1727.0,2743.7,2560165.66,80343.0,91.0
44,1091,9,351,461.3,13387,420003.1,57.0,210.0,267.2,240615.93,7765.0,0.0
45,1093,30,1584,1828.3,52927,1669309.93,254.0,743.0,834.6,763633.5700000001,24122.0,0.0
46,1095,89,3416,4617.6,134072,4326776.79,698.0,1343.0,1705.5,1589350.41,49336.0,120.0
47,1097,210,19008,28815.7,842604,26680985.12,4397.0,11668.0,17438.9,16136849.82,509123.0,1855.0
48,1099,70,3256,4523.7,131563,4212492.16,574.0,1461.0,1741.6000000000001,1623607.74,50086.0,0.0
49,1101,72,4369,6262.8,182506,5837802.36,739.0,2126.0,3059.5,2875476.63,89113.0,322.0
50,1103,95,4385,5535.1,160059,5132801.08,583.0,2570.0,3242.5,3015731.28,93729.0,94.0
51,1105,54,3395,4673.900000000001,136022,4511074.9,585.0,1737.0,2344.7999999999997,2236974.09,68058.0,192.0
52,1107,14,452,617.6,17968,577651.88,26.0,78.0,110.19999999999999,103030.20000000001,3204.0,0.0
53,1109,30,792,1088.4,31576,1006333.74,68.0,468.0,582.2,537689.52,16724.0,42.0
54,1111,13,547,670.3,19290,614729.64,68.0,289.0,371.0,335371.29000000004,10746.0,0.0
55,1113,26,1128,1707.2,50136,1571162.54,230.0,286.0,335.4,319455.72000000003,9668.0,0.0
56,1115,24,1385,1737.0,50253,1592997.48,203.0,711.0,887.6999999999999,802127.9099999999,25702.0,41.0
57,1117,82,4084,5635.8,164111,4999984.71,793.0,2161.0,2933.5,2571121.21,85370.0,154.0
58,1119,6,201,293.0,8548,272198.44,26.0,58.0,67.8,62919.62,1948.0,0.0
59,1121,42,3829,5340.6,155426,4959668.42,950.0,1745.0,2518.1,2305892.2399999998,73488.0,254.0
60,1123,28,1177,1460.3,42399,1348103.06,149.0,434.0,499.2,465112.46,14434.0,0.0
61,1125,51,2210,3215.3,93885,3055196.0,345.0,844.0,1258.8,1182921.75,36822.0,35.0
62,1127,17,1273,1562.1,45150,1433943.9,231.0,738.0,911.0,821535.44,26375.0,72.0
63,1129,5,346,450.2,13019,422005.54,70.0,139.0,164.5,151851.12,4718.0,15.0
64,1131,3,169,220.5,6393,205549.65999999997,32.0,84.0,107.0,98023.6,3108.0,0.0
